No.,Timestamp,Sequence Number, Attribute,Status,Data Type,Data Value
1,1778525095,70,Active Power,Success,16-Bit Signed Integer,0
2,1778525095,70,RMS Current,Success,16-Bit Unsigned Integer,0
3,1778525095,70,RMS Voltage,Success,16-Bit Unsigned Integer,219
4,1778525197,68,Active Power,Success,16-Bit Signed Integer,0
5,1778525197,68,RMS Current,Success,16-Bit Unsigned Integer,0
6,1778525197,68,RMS Voltage,Success,16-Bit Unsigned Integer,220
7,1778525209,197,Active Power,Success,16-Bit Signed Integer,0
8,1778525209,197,RMS Current,Success,16-Bit Unsigned Integer,0
9,1778525209,197,RMS Voltage,Success,16-Bit Unsigned Integer,222
10,1778525329,230,Active Power,Success,16-Bit Signed Integer,0
11,1778525329,230,RMS Current,Success,16-Bit Unsigned Integer,0
12,1778525329,230,RMS Voltage,Success,16-Bit Unsigned Integer,219
13,1778525335,214,Active Power,Success,16-Bit Signed Integer,0
14,1778525335,214,RMS Current,Success,16-Bit Unsigned Integer,0
15,1778525335,214,RMS Voltage,Success,16-Bit Unsigned Integer,222
16,1778525341,85,Active Power,Success,16-Bit Signed Integer,0
17,1778525341,85,RMS Current,Success,16-Bit Unsigned Integer,0
18,1778525341,85,RMS Voltage,Success,16-Bit Unsigned Integer,219
19,1778525401,25,Active Power,Success,16-Bit Signed Integer,0
20,1778525401,25,RMS Current,Success,16-Bit Unsigned Integer,0
21,1778525401,25,RMS Voltage,Success,16-Bit Unsigned Integer,220
22,1778525521,118,Active Power,Success,16-Bit Signed Integer,0
23,1778525521,118,RMS Current,Success,16-Bit Unsigned Integer,0
24,1778525521,118,RMS Voltage,Success,16-Bit Unsigned Integer,221
25,1778525545,32,Active Power,Success,16-Bit Signed Integer,0
26,1778525545,32,RMS Current,Success,16-Bit Unsigned Integer,0
27,1778525545,32,RMS Voltage,Success,16-Bit Unsigned Integer,220
28,1778525551,249,Active Power,Success,16-Bit Signed Integer,0
29,1778525551,249,RMS Current,Success,16-Bit Unsigned Integer,0
30,1778525551,249,RMS Voltage,Success,16-Bit Unsigned Integer,221
31,1778525774,60,Active Power,Success,16-Bit Signed Integer,0
32,1778525774,60,RMS Current,Success,16-Bit Unsigned Integer,0
33,1778525774,60,RMS Voltage,Success,16-Bit Unsigned Integer,221
34,1778525786,176,Active Power,Success,16-Bit Signed Integer,0
35,1778525786,176,RMS Current,Success,16-Bit Unsigned Integer,0
36,1778525786,176,RMS Voltage,Success,16-Bit Unsigned Integer,219
37,1778525840,200,Active Power,Success,16-Bit Signed Integer,0
38,1778525840,200,RMS Current,Success,16-Bit Unsigned Integer,0
39,1778525840,200,RMS Voltage,Success,16-Bit Unsigned Integer,220
